TITOLO,ISSN,VERSIONE,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4
JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
JOURNAL OF TRAVEL RESEARCH,0047-2875,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
JOURNAL OF URBAN ECONOMICS,1095-9068,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
JOURNAL OF URBAN ECONOMICS,0094-1190,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
JOURNAL OF VOCATIONAL BEHAVIOR,1095-9084,on-line,,,,,,A,A,A,A,A,A,,,,
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,print,,,,,,A,A,A,A,A,A,,,,
JOURNAL OF WORLD BUSINESS,1090-9516,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
JUDGMENT AND DECISION MAKING,1930-2975,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
KNOWLEDGE AND INFORMATION SYSTEMS,0219-1377,print,,,,,,A,A,A,A,A,,A,A,A,A
KNOWLEDGE ENGINEERING REVIEW,0269-8889,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
KNOWLEDGE-BASED SYSTEMS,0950-7051,print,,,,,,A,A,A,A,A,A,A,A,A,A
KYKLOS,1467-6435,on-line,A,A,A,A,A,,,,,,A,,,,
KYKLOS,0023-5962,print,A,A,A,A,A,,,,,,A,,,,
LA RIVISTA DEL NUOVO CIMENTO DELLA SOCIETÀ ITALIANA DI FISICA,1826-9850,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
LABOUR ECONOMICS,0927-5371,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
LAND ECONOMICS,0023-7639,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
LAND USE POLICY,0264-8377,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
LEADERSHIP,1742-7169,on-line,,,,,,A,A,A,A,A,A,,,,
LEADERSHIP,1742-7150,print,,,,,,A,A,A,A,A,A,,,,
LEGISLATIVE STUDIES QUARTERLY,0362-9805,print,A,A,A,A,A,A,A,A,A,A,A,,,,
LIFETIME DATA ANALYSIS,1380-7870,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
LONG RANGE PLANNING,1873-1872,on-line,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
LONG RANGE PLANNING,0024-6301,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MACROECONOMIC DYNAMICS,1469-8056,on-line,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),A
MACROECONOMIC DYNAMICS,1365-1005,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),A
MANAGEMENT ACCOUNTING RESEARCH,1096-1224,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
MANAGEMENT ACCOUNTING RESEARCH,1044-5005,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
MANAGEMENT AND ORGANIZATION REVIEW,1740-8784,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANAGEMENT AND ORGANIZATION REVIEW,1740-8776,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANAGEMENT DECISION,0025-1747,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANAGEMENT INTERNATIONAL REVIEW,1861-8901,on-line,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
MANAGEMENT LEARNING,1350-5076,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
MANAGEMENT SCIENCE,1526-5501,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANAGEMENT SCIENCE,0025-1909,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANAGING SERVICE QUALITY,0960-4529,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,,,,
MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,1526-5498,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,1523-4614,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MARINE BIOLOGY,0025-3162,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
MARINE CHEMISTRY,0304-4203,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
MARINE ECOLOGY PROGRESS SERIES,0171-8630,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
MARINE POLLUTION BULLETIN,0025-326X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
MARITIME POLICY & MANAGEMENT,1464-5254,.,,,,,,A,A,A,A,A,,,,,
MARITIME POLICY AND MANAGEMENT,0308-8839,print,,,,,,A,A,A,A,A,,,,,
MARKETING LETTERS,1573-059X,on-line,,,,,,A,A,A,A,A,A,,,,
MARKETING LETTERS,0923-0645,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
MARKETING SCIENCE,1526-548X,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MARKETING SCIENCE,0732-2399,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MARKETING THEORY,1741-301X,on-line,,,,,,A,A,A,A,A,A,,,,
MARKETING THEORY,1470-5931,print,,,,,,A,A,A,A,A,A,,,,
MATHEMATICAL FINANCE,1467-9965,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MATHEMATICAL FINANCE,0960-1627,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MATHEMATICAL GEOSCIENCES,1874-8961,.,,,,,,,,,,,,(a),(a),(a),(a)
MATHEMATICAL MEDICINE AND BIOLOGY,1477-8599,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
"MATHEMATICAL PROGRAMMING, SERIES B",0025-5610,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A
MATHEMATICS AND FINANCIAL ECONOMICS,1862-9679,print,,,,,,,,,,,,A,A,A,A
MATHEMATICS OF COMPUTATION,0025-5718,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
MATHEMATICS OF OPERATIONS RESEARCH,1526-5471,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MATHEMATICS OF OPERATIONS RESEARCH,0364-765X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MECOSAN,1121-6921,.,,,,,,,,(a),,,,,,,
MEMORY STUDIES,1750-6980,.,,,,,,,,,,,(a),,,,
METHODOLOGY,1614-1881,.,,,,,,,,,,,,(a),(a),(a),(a)
METROECONOMICA,1467-999X,on-line,A,A,A,A,A,,,,,,A,,,,
METROECONOMICA,0026-1386,print,A,A,A,A,A,,,,,,A,,,,
MIR. MANAGEMENT INTERNATIONAL REVIEW,0938-8249,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
MIS QUARTERLY,0276-7783,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MIT SLOAN MANAGEMENT REVIEW,1532-9194,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
MOLECULAR NUTRITION & FOOD RESEARCH,1613-4125,.,,,,,,(a),(a),(a),(a),(a),,,,,
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,0035-8711,.,,,,,,,,,,,,(a),(a),(a),(a)
MULTIVARIATE BEHAVIORAL RESEARCH,1532-7906,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
MULTIVARIATE BEHAVIORAL RESEARCH,0027-3171,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
NATIONAL TAX JOURNAL,0028-0283,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
NATURE,1476-4687,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
NATURE,0028-0836,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
NATURE BIOTECHNOLOGY,1087-0156,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NAVAL RESEARCH LOGISTICS,0894-069X,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
NETWORKS AND SPATIAL ECONOMICS,1572-9427,on-line,,,,,,,,,,,,A,A,A,A
NETWORKS AND SPATIAL ECONOMICS,1566-113X,.,,,,,,,,,,,,A,A,A,A
NEURAL COMPUTATION,0899-7667,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NEW JOURNAL OF PHYSICS,1367-2630,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NEW PHYTOLOGIST,0028-646X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NEW POLITICAL ECONOMY,1469-9923,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
NEW POLITICAL ECONOMY,1356-3467,print,A,A,A,A,A,A,A,A,A,A,A,,,,
"NEW TECHNOLOGY, WORK AND EMPLOYMENT",1468-005X,on-line,,,,,,A,A,A,A,A,,,,,
"NEW TECHNOLOGY, WORK AND EMPLOYMENT",0268-1072,print,,,,,,A,A,A,A,A,,,,,
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,1021-9722,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NONLINEAR ANALYSIS,1751-570X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NONLINEAR ANALYSIS: REAL WORLD APPLICATIONS,1468-1218,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A
NONLINEARITY,0951-7715,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,1552-7395,on-line,,,,,,A,A,A,A,A,,,,,
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,0899-7640,print,,,,,,A,A,A,A,A,,,,,
NORTH AMERICAN ACTUARIAL JOURNAL,1092-0277,print,,,,,,,,,,,,A,A,A,A
NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,1062-9408,print,A,A,A,A,A,,,,,,A,,,,
NUCLEAR PHYSICS. B,0550-3213,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
NUCLEIC ACIDS RESEARCH,0305-1048,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
OMEGA,0305-0483,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,.,,,,,,,,,,,,(a),(a),(a),(a)
OPERATIONS RESEARCH,1526-5463,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OPERATIONS RESEARCH,0030-364X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OPERATIONS RESEARCH LETTERS,0167-6377,.,,,,,,,,,,,,(a),(a),(a),(a)
OR SPECTRUM,1436-6304,on-line,,,,,,,,,,,,A,A,A,A
OR SPECTRUM,0171-6468,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
ORGANIZATION,1350-5084,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATION & ENVIRONMENT,1086-0266,print,,,,,,A,A,A,A,A,A,,,,
ORGANIZATION SCIENCE,1526-5455,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATION SCIENCE,1047-7039,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATION STUDIES,0170-8406,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,1095-9920,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ORGANIZATIONAL RESEARCH METHODS,1094-4281,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,1468-0084,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,0305-9049,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
OXFORD ECONOMIC PAPERS,1464-3812,on-line,A,A,A,A,A,,,,,,A,A,A,A,
OXFORD ECONOMIC PAPERS,0030-7653,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,A,A,A,(a)
OXFORD REVIEW OF ECONOMIC POLICY,1460-2121,on-line,A,A,A,A,A,,,,,,A,,,,
OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
PAPERS IN REGIONAL SCIENCE,1435-5957,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PAPERS IN REGIONAL SCIENCE,1056-8190,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PARALLEL COMPUTING,0167-8191,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PAST & PRESENT,0031-2746,print,,,,,,,,,,,A,,,,
PATTERN RECOGNITION,0031-3203,.,,,,,,,,,,,,(a),(a),(a),(a)
PATTERN RECOGNITION LETTERS,0167-8655,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PERSONNEL PSYCHOLOGY,0031-5826,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
PERSONNEL REVIEW,0048-3486,print,,,,,,A,A,A,A,A,A,,,,
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,1931-2393,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,1538-6341,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PHARMACEUTICAL STATISTICS,1539-1604,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PHARMACOECONOMICS,1170-7690,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
PHILOSOPHY & PUBLIC AFFAIRS,0048-3915,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PHYSICA D-NONLINEAR PHENOMENA,0167-2789,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
"PHYSICAL REVIEW D, PARTICLES, FIELDS, GRAVITATION, AND COSMOLOGY",1550-7998,.,,,,,,,,,,,,(a),(a),(a),(a)
"PHYSICAL REVIEW E, STATISTICAL, NONLINEAR, AND SOFT MATTER PHYSICS",1539-3755,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PHYSICAL REVIEW LETTERS,0031-9007,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
"PHYSICAL REVIEW. B, CONDENSED MATTER AND MATERIALS PHYSICS",1098-0121,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PHYSICS LETTERS. SECTION B,0370-2693,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PLOS COMPUTATIONAL BIOLOGY,1553-734X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PLOS ONE,1932-6203,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
POLICY SCIENCES,1573-0891,on-line,A,A,A,A,A,,,,,,A,,,,
POLICY SCIENCES,0032-2687,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
POLITICAL ANALYSIS,1476-4989,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
POLITICAL ANALYSIS,1047-1987,print,A,A,A,A,A,A,A,A,A,A,A,,,,
POLITICAL GEOGRAPHY,0962-6298,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POPULATION AND DEVELOPMENT REVIEW,1728-4457,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
POPULATION AND DEVELOPMENT REVIEW,0098-7921,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
POPULATION AND ENVIRONMENT,0199-0039,print,,,,,,,,,,,,A,A,A,
POPULATION BULLETIN,0032-468X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
POPULATION HEALTH METRICS,1478-7954,print,A,A,A,A,A,,,,,,A,A,A,A,
POPULATION RESEARCH AND POLICY REVIEW,0167-5923,.,,,,,,,,,,,,(a),(a),(a),(a)
POPULATION STUDIES,1477-4747,on-line,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
POPULATION STUDIES,0032-4728,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
"POPULATION, SPACE AND PLACE",1544-8444,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
POST-SOVIET AFFAIRS,1060-586X,print,A,A,A,A,A,,,,,,A,,,,
PRECISION AGRICULTURE,1385-2256,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PROBABILITY THEORY AND RELATED FIELDS,1432-2064,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROBABILITY THEORY AND RELATED FIELDS,0178-8051,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROCEEDINGS - ROYAL SOCIETY. BIOLOGICAL SCIENCES,0962-8452,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,1088-6826,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,0002-9939,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROCEEDINGS OF THE IEEE,0018-9219,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1091-6490,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH. SECTION A. MATHEMATICS,0308-2105,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PRODUCTION AND OPERATIONS MANAGEMENT,1059-1478,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PRODUCTION PLANNING & CONTROL,1366-5871,on-line,,,,,,A,A,A,A,A,A,,,,
PRODUCTION PLANNING & CONTROL,0953-7287,print,,,,,,A,A,A,A,A,A,,,,
PROGRESS IN PLANNING,0305-9006,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROJECT MANAGEMENT JOURNAL,8756-9728,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
PROTEOMICS,1615-9853,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
PSYCHOLOGICAL SCIENCE,0956-7976,.,,,,,,(a),(a),(a),(a),(a),,,,,
PSYCHOLOGY & MARKETING,1520-6793,on-line,,,,,,A,A,A,A,A,A,,,,
PSYCHOLOGY & MARKETING,0742-6046,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
PSYCHOMETRIKA,0033-3123,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC ADMINISTRATION,1467-9299,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
PUBLIC ADMINISTRATION,0033-3298,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
PUBLIC ADMINISTRATION REVIEW,1540-6210,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC ADMINISTRATION REVIEW,0033-3352,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC CHOICE,1573-7101,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC CHOICE,0048-5829,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC MANAGEMENT REVIEW,1471-9045,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PUBLIC MANAGEMENT REVIEW,1471-9037,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUALITATIVE RESEARCH,1468-7941,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUALITY & QUANTITY,0033-5177,.,,,,,,,,,,,,(a),(a),(a),(a)
QUALITY AND QUANTITY,1573-7845,.,,,,,,,,,,,,(a),(a),(a),(a)
QUANTITATIVE ECONOMICS,1759-7331,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUANTITATIVE ECONOMICS,1759-7323,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUANTITATIVE FINANCE,1469-7696,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUANTITATIVE FINANCE,1469-7688,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUANTITATIVE MARKETING AND ECONOMICS,1570-7156,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUARTERLY JOURNAL OF ECONOMICS,1531-4650,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUARTERLY JOURNAL OF ECONOMICS,0033-5533,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
QUARTERLY JOURNAL OF POLITICAL SCIENCE,1554-0634,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
QUARTERLY JOURNAL OF POLITICAL SCIENCE,1554-0626,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
R & D MANAGEMENT,1467-9310,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
R & D MANAGEMENT,0033-6807,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
RAND JOURNAL OF ECONOMICS,0741-6261,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REAL ESTATE ECONOMICS,1540-6229,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REAL ESTATE ECONOMICS,1080-8620,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REGIONAL SCIENCE AND URBAN ECONOMICS,0166-0462,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REGIONAL STUDIES,1360-0591,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REGIONAL STUDIES,0034-3404,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REJUVENATION RESEARCH,1549-1684,.,,,,,,,,,,,,(a),(a),(a),(a)
RELIABILITY ENGINEERING & SYSTEM SAFETY,0951-8320,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
RENEWABLE ENERGY,0960-1481,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
REPORTS ON PROGRESS IN PHYSICS,0034-4885,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
RESEARCH IN HIGHER EDUCATION,1573-188X,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
RESEARCH IN HIGHER EDUCATION,0361-0365,print,A,A,A,A,A,A,A,A,A,A,A,,,,
RESEARCH IN ORGANIZATIONAL BEHAVIOR,0191-3085,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
RESEARCH POLICY,0048-7333,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
RESOURCE AND ENERGY ECONOMICS,0928-7655,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
RESOURCES CONSERVATION AND RECYCLING,0921-3449,print,,,,,,A,A,A,A,A,,,,,
RESOURCES POLICY,0301-4207,print,A,A,A,A,A,,,,,,A,,,,
REVIEW OF ACCOUNTING STUDIES,1573-7136,on-line,,,,,,A,A,A,A,A,A,,,,
REVIEW OF ACCOUNTING STUDIES,1380-6653,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
REVIEW OF ECONOMIC DYNAMICS,1096-6099,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF ECONOMIC DYNAMICS,1094-2025,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF ECONOMIC STUDIES,0034-6527,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF ECONOMICS OF THE HOUSEHOLD,1573-7152,on-line,A,A,A,A,A,,,,,,A,,,,
REVIEW OF ECONOMICS OF THE HOUSEHOLD,1569-5239,print,A,A,A,A,A,,,,,,A,,,,
REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,1750-6816,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF FINANCE,1572-3097,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF FINANCIAL STUDIES,1465-7368,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
REVIEW OF HIGHER EDUCATION,0162-5748,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
REVIEW OF INCOME AND WEALTH,0034-6586,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,A,A,A,(a)
REVIEW OF INTERNATIONAL ECONOMICS,0965-7576,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,1466-4526,on-line,A,A,A,A,A,,,,,,A,,,,
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,0969-2290,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
REVIEW OF PUBLIC PERSONNEL ADMINISTRATION,0734-371X,print,,,,,,A,A,A,A,A,A,,,,
REVIEW OF WORLD ECONOMICS,1610-2886,on-line,A,A,A,A,A,,,,,,A,,,,
REVIEW OF WORLD ECONOMICS,1610-2878,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
REVISTA DE HISTORIA ECONÓMICA,0212-6109,print,,,,,,,,,,,A,,,,
RISK ANALYSIS,1539-6924,on-line,,,,,,,,,,,,A,A,A,A
RISK ANALYSIS,0272-4332,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
SCANDINAVIAN ACTUARIAL JOURNAL,1651-2030,on-line,,,,,,,,,,,,A,A,A,A
SCANDINAVIAN ACTUARIAL JOURNAL,0346-1238,print,,,,,,,,,,,,A,A,A,A
SCANDINAVIAN JOURNAL OF ECONOMICS,0347-0520,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
SCANDINAVIAN JOURNAL OF MANAGEMENT,0956-5221,print,,,,,,A,A,A,A,A,A,,,,
